#,Year,Title,Subtitle,Last Name,First Name
X,1957,Atlas Shrugged,,Rand,Ayn
X,1997,Lynch por Lynch,,Lynch,David
X,1961,Van Gogh,,Knuttel,Gerard
X,1943,Street Corner Society,The Social Structure of an Italian Slum,Foote Whyte,William
X,1991,Por qué leer los clásicos,,Calvino,Italo
X,1960,Masa y poder,,Canetti,Elias
X,1965,Men of Ideas,,Coser,Lewis A.
X,1985,Telling Lies,Clues to Deceit in the Marketplace Politics and Marriage,Ekman,Paul
X,2012,Cuando me muera, quiero que me toquen cumbia,Vidas de pibes chorros,Alarcón,Cristian
X,2005,Consider the Lobster and Other Essays,,Wallace,David Foster
X,1963,Eichmann in Jerusalem,A Report on the Banality of Evil,Arendt,Hannah
X,1999,La ciudad a lo lejos,,Nancy,Jean-Luc
X,2004,Naturo,,de Posfay,Guillermo
X,2002,Allegro Andante,,de Posfay,Guillermo
X,2017,So Fi Zine #1,,Watson,Ashleigh
X,Year,Title,Subtitle,Last Name,First Name
X,Year,Title,Subtitle,Last Name,First Name
X,Year,Title,Subtitle,Last Name,First Name
